0.27266	1.6041	0.62318	-0.405404	-0.0483902	0.0154985	-0.000119622	-0.000104788	
0.6273	2.7321	0.166063	-0.647613	0.0620413	0.0430716	-0.00517387	-0.000458602	
1.3062	3.4157	-0.17368	-0.432354	0.158398	0.0157446	-0.0062329	8.40716e-05	
2.068	4.126	-0.359453	-0.0867104	0.156797	-0.0107571	-0.00398447	0.00040753	
3.267	6.1594	-0.12995	0.369169	-0.00496174	-0.055333	0.0058916	0.00137438	
3.7294	8.0121	0.0242395	0.252258	-0.23431	-0.0278004	0.0353881	-0.00211998	
5.3168	9.2467	0.0903468	-0.122768	-0.107235	0.0638851	0.00343028	-0.00430476	
6.7746	10.258	0.0117087	-0.158347	0.05241	0.0254686	-0.00767416	-0.000497147	
8.035	12.031	-0.0415244	0.00859883	0.0798493	-0.0230193	-0.0061239	0.00213743	
9.3891	13.28	-0.0206033	0.0816766	-0.00553757	-0.0228844	0.00366432	0.000990302	
11.756	14.091	0.0303117	0.00512094	-0.0168235	0.0016332	0.00052498	-6.92343e-05	
12.067	14.765	0.0273969	-0.0134646	-0.015977	0.00415758	0.000444528	-0.00015352	
13.485	14.837	0.0183892	-0.017534	-0.00083299	0.000601949	-1.80296e-05	-3.69888e-06	
