0.21783	1.3861	0.712221	-0.0980871	-0.0155417	0.00327596	8.06429e-05	-4.88411e-05	
0.85096	1.7056	0.624308	-0.0893933	-0.00131284	0.0011234	-6.05208e-05	-5.14332e-06	
0.92983	2.3669	0.549858	-0.143975	0.00638353	0.00323105	-0.000576135	-8.08648e-07	
1.6085	3.181	0.418751	-0.120313	0.0159528	-0.000166288	-0.000393897	6.96781e-05	
1.7399	4.4825	0.339254	-0.147328	0.0366996	-0.00542566	-0.000568877	0.000459068	
2.7034	4.747	0.275152	-0.07637	0.0136776	-0.00198558	0.000180724	5.61906e-06	
3.4375	5.3549	0.231158	-0.0510253	0.00747046	-0.00096503	0.000111427	-9.63512e-06	
4.5604	5.7314	0.195177	-0.0222835	0.00169564	-0.00011599	7.58297e-06	-4.66121e-07	
5.3325	6.5754	0.168569	-0.0176474	0.00123142	-7.7324e-05	4.66313e-06	-2.70779e-07	
5.4296	7.5067	0.155953	-0.0252193	0.00271747	-0.000263443	2.4839e-05	-2.23324e-06	
6.0596	7.9634	0.143508	-0.0195834	0.00178088	-0.000145724	1.15267e-05	-8.74353e-07	
6.9232	9.142	0.12529	-0.0173952	0.00160952	-0.000134002	1.07905e-05	-8.32882e-07	
7.8138	9.9617	0.113065	-0.0137189	0.0011093	-8.07154e-05	5.65935e-06	-3.81589e-07	
